"RIDE_TICKET_ID","RIDE_ID","TICKET_ID","TIMESTAMP"
1,"R001",20,"2019-11-21 16:03:00"
2,"R001",21,"2020-04-29 20:03:00"
3,"R001",41,"2020-04-20 04:28:00"
4,"R001",44,"2020-01-10 07:58:00"
5,"R001",52,"2020-05-18 02:04:00"
6,"R001",75,"2020-06-15 14:00:00"
7,"R001",85,"2020-05-26 18:18:00"
8,"R001",105,"2019-12-09 02:17:00"
9,"R001",121,"2019-12-12 20:43:00"
10,"R001",131,"2020-01-14 07:24:00"
11,"R001",136,"2020-08-02 17:00:00"
12,"R001",140,"2020-04-25 00:26:00"
13,"R001",152,"2019-12-12 11:42:00"
14,"R001",154,"2020-02-22 05:10:00"
15,"R001",168,"2020-06-28 13:22:00"
16,"R001",175,"2020-07-31 00:15:00"
17,"R001",178,"2020-07-13 17:36:00"
18,"R001",196,"2019-12-13 03:10:00"
19,"R001",202,"2020-06-15 17:48:00"
20,"R001",225,"2020-02-26 19:09:00"
21,"R001",232,"2020-01-17 13:41:00"
22,"R001",242,"2020-03-18 09:20:00"
23,"R001",246,"2020-02-01 18:00:00"
24,"R001",255,"2019-11-14 20:02:00"
25,"R001",258,"2020-06-29 08:10:00"
26,"R001",262,"2020-04-10 20:25:00"
27,"R001",267,"2019-12-24 15:29:00"
28,"R001",274,"2020-03-11 02:35:00"
29,"R001",287,"2020-02-03 20:20:00"
30,"R001",295,"2019-12-05 19:01:00"
31,"R001",308,"2019-12-18 15:39:00"
32,"R001",334,"2020-06-03 10:22:00"
33,"R001",336,"2020-02-09 16:07:00"
34,"R001",337,"2020-04-05 02:51:00"
35,"R001",345,"2020-03-18 11:32:00"
36,"R001",346,"2020-04-19 15:59:00"
37,"R001",347,"2020-08-07 18:32:00"
38,"R001",356,"2020-03-07 23:32:00"
39,"R001",357,"2020-03-10 01:16:00"
40,"R001",364,"2019-11-30 10:22:00"
41,"R001",371,"2020-05-09 19:10:00"
42,"R001",392,"2020-06-08 11:00:00"
43,"R001",396,"2020-03-25 21:15:00"
44,"R001",399,"2020-04-10 09:21:00"
45,"R001",403,"2020-04-05 14:11:00"
46,"R001",410,"2020-02-23 02:12:00"
47,"R001",419,"2019-11-15 07:14:00"
48,"R001",430,"2020-01-14 21:07:00"
49,"R001",436,"2020-01-02 22:43:00"
50,"R001",437,"2020-08-05 22:14:00"
51,"R001",447,"2020-08-12 18:27:00"
52,"R001",455,"2020-04-29 22:25:00"
53,"R001",457,"2020-06-30 16:31:00"
54,"R001",472,"2020-06-16 18:15:00"
55,"R001",484,"2020-04-30 17:37:00"
56,"R001",490,"2020-07-13 02:16:00"
57,"R001",515,"2020-02-20 12:14:00"
58,"R001",518,"2020-02-01 09:37:00"
59,"R001",552,"2020-06-17 20:35:00"
60,"R001",567,"2020-04-15 05:46:00"
61,"R001",573,"2019-12-17 22:36:00"
62,"R001",602,"2020-03-10 07:03:00"
63,"R001",608,"2020-05-29 17:39:00"
64,"R001",612,"2020-02-02 15:58:00"
65,"R001",648,"2019-11-20 01:33:00"
66,"R001",698,"2020-05-30 15:17:00"
67,"R001",704,"2020-05-02 13:43:00"
68,"R001",710,"2020-02-01 19:46:00"
69,"R001",728,"2020-02-16 16:40:00"
70,"R001",734,"2020-05-23 09:22:00"
71,"R001",752,"2020-03-22 10:57:00"
72,"R001",762,"2020-02-29 07:43:00"
73,"R001",770,"2020-01-21 08:52:00"
74,"R001",772,"2019-11-06 08:48:00"
75,"R001",783,"2020-06-19 22:36:00"
76,"R001",787,"2020-04-16 04:08:00"
77,"R001",787,"2020-04-16 09:06:00"
78,"R001",801,"2020-03-18 03:23:00"
79,"R001",811,"2019-12-15 20:33:00"
80,"R001",814,"2020-07-04 20:07:00"
