FACILITY_ID,FACILITY_DESC,FACILITY_TYPE,FACILITY_CAPACITY,FACILITY_SUBTYPE,LOCATION
FAC115,Pizza Ronde 3,Dinning,20,Italian Food,Fort Edmonton
FAC116,Poulet Etc.,Dinning,20,Classic Food,Near the D????mon
FAC141,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Goliath
FAC102,Marchand Du Village,Shopping,20,Toys/Appareal/Sundries,Secteur Village
FAC129,Halte Gourmande - Au Bol,Dinning,20,Light Dishes,Fort Edmonton
FAC104,Carrousel Du Bonbon,Shopping,20,Candy,Front entrance
FAC112,La Centrale Burgers & Frites,Dinning,20,Classic Food,Pays de Ribambelle
FAC135,Park Opening Celebration,Events,200,,
FAC117,Restaurant Lafleur,Dinning,20,Classic Food,Near the Vol Ultime
FAC117,Restaurant Lafleur,Dinning,20,Classic Food,Near the Vol Ultime
FAC132,Amir,Dinning,20,Mediterranean Dishes,Fort Edmonton
FAC104,Carrousel Du Bonbon,Shopping,20,Candy,Front entrance
FAC119,Dippin' Dots,Dinning,20,Ice Cream and Sweets,Near the Grand Carrousel
FAC104,Carrousel Du Bonbon,Shopping,20,Candy,Front entrance
FAC138,Popcorn & Cie,Dinning,20,Snacks & Beverages,Pays de Ribambelle
FAC127,Rolopan 2,Dinning,20,Ice Cream and Sweets,Near the Ednor
FAC118,Subway,Dinning,20,Classic Food,Near the Grand Carrousel
FAC126,Rolopan 1,Dinning,20,Ice Cream and Sweets,Near the Titan
FAC113,Pizza Ronde 1,Dinning,20,Italian Food,Near the Gare du Minirail
FAC103,Photo Goliath,Shopping,20,Photos and Collectables,Near the Goliath
FAC118,Subway,Dinning,20,Classic Food,Near the Grand Carrousel
FAC133,Halte Gourmande - Au Bol,Dinning,20,Mediterranean Dishes,Fort Edmonton
FAC120,Moozoo 1,Dinning,20,Ice Cream and Sweets,Near the Vol Ultime
FAC141,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Goliath
FAC142,Bar Rouge,Dinning,20,Snacks & Beverages,Fort Edmonton
FAC123,Queues De Castor 1,Dinning,20,Ice Cream and Sweets,Fort Edmonton
FAC126,Rolopan 1,Dinning,20,Ice Cream and Sweets,Near the Titan
FAC140,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Monstre
FAC112,La Centrale Burgers & Frites,Dinning,20,Classic Food,Pays de Ribambelle
FAC137,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Gare du Minirail
FAC118,Subway,Dinning,20,Classic Food,Near the Grand Carrousel
FAC108,Boutique Splash,Shopping,20,Appareal,Next to Splash
FAC103,Photo Goliath,Shopping,20,Photos and Collectables,Near the Goliath
