FACILITY_ID ,TICKET_ID ,FACILITY_DESC ,FACILITY_TYPE ,FACILITY_CAPACITY ,FACILITY_SUBTYPE ,LOCATION,TIMESTAMP
FAC115,146,Pizza Ronde 3,Dinning,20,Italian Food,Fort Edmonton,8/01/2020 12:31
FAC116,562,Poulet Etc.,Dinning,20,Classic Food,Near the Démon,2/12/2019 23:23
FAC141,850,Popcorn & Cie,Dinning,20,Snacks & Beverages,Near the Goliath,1/06/2020 21:31
FAC102,288,Marchand Du Village,Shopping,20,Toys/Appareal/Sundries,Secteur Village,27/12/2019 10:45
FAC129,445,Halte Gourmande - Au Bol,Dinning,20,Light Dishes,Fort Edmonton,27/04/2020 11:24
FAC104,859,Carrousel Du Bonbon,Shopping,20,Candy,Front entrance,22/05/2020 15:46
FAC112,784,La Centrale Burgers & Frites,Dinning,20,Classic Food,Pays de Ribambelle,15/07/2020 08:08
FAC135,11,Park Opening Celebration,Events,200,NA,NA,3/03/2020 12:11
FAC117,114,Restaurant Lafleur,Dinning,20,Classic Food,Near the Vol Ultime,27/07/2020 05:19
FAC117,166,Restaurant Lafleur,Dinning,20,Classic Food,Near the Vol Ultime,12/07/2020 08:15
FAC132,259,Amir,Dinning,20,Mediterranean Dishes,Fort Edmonton,26/02/2020 16:21
FAC104,456,Carrousel Du Bonbon,Shopping,20,Candy,Front entrance,13/03/2020 03:09
FAC119,193,Dippin' Dots,Dinning,20,Ice Cream and Sweets,Near the Grand Carrousel,30/04/2020 22:40
FAC104,483,Carrousel Du Bonbon,Shopping,20,Candy,Front entrance,16/04/2020 18:02
FAC138,913,Popcorn & Cie,Dinning,20,Snacks & Beverages,Pays de Ribambelle,14/02/2020 04:18
FAC127,975,Rolopan 2,Dinning,20,Ice Cream and Sweets,Near the Ednor,9/04/2020 04:41
FAC118,544,Subway,Dinning,20,Classic Food,Near the Grand Carrousel,19/06/2020 15:39
FAC126,536,Rolopan 1,Dinning,20,Ice Cream and Sweets,Near the Titan,9/06/2020 15:58
FAC113,679,Pizza Ronde 1,Dinning,20,Italian Food,Near the Gare du Minirail,21/05/2020 04:23
FAC103,579,Photo Goliath,Shopping,20,Photos and Collectables,Near the Goliath,31/03/2020 18:11
