RIDE_TICKET_ID,RIDE_ID,TICKET_ID,TIMESTAMP
1,R001,20,2019/11/21 16:03
2,R001,21,2020/4/29 20:03
3,R001,41,2020/4/20 4:28
4,R001,44,2020/1/10 7:58
5,R001,52,2020/5/18 2:04
6,R001,75,2020/6/15 14:00
7,R001,85,2020/5/26 18:18
8,R001,105,2019/12/9 2:17
9,R001,121,2019/12/12 20:43
10,R001,131,2020/1/14 7:24
11,R001,136,2020/8/2 17:00
12,R001,140,2020/4/25 0:26
13,R001,152,2019/12/12 11:42
14,R001,154,2020/2/22 5:10
15,R001,168,2020/6/28 13:22
16,R001,175,2020/7/31 0:15
17,R001,178,2020/7/13 17:36
18,R001,196,2019/12/13 3:10
19,R001,202,2020/6/15 17:48
20,R001,225,2020/2/26 19:09
21,R001,232,2020/1/17 13:41
22,R001,242,2020/3/18 9:20
23,R001,246,2020/2/1 18:00
24,R001,255,2019/11/14 20:02
25,R001,258,2020/6/29 8:10
26,R001,262,2020/4/10 20:25
27,R001,267,2019/12/24 15:29
28,R001,274,2020/3/11 2:35
29,R001,287,2020/2/3 20:20
30,R001,295,2019/12/5 19:01
31,R001,308,2019/12/18 15:39
32,R001,334,2020/6/3 10:22
33,R001,336,2020/2/9 16:07
34,R001,337,2020/4/5 2:51
35,R001,345,2020/3/18 11:32
36,R001,346,2020/4/19 15:59
37,R001,347,2020/8/7 18:32
38,R001,356,2020/3/7 23:32
39,R001,357,2020/3/10 1:16
40,R001,364,2019/11/30 10:22
41,R001,371,2020/5/9 19:10
42,R001,392,2020/6/8 11:00
43,R001,396,2020/3/25 21:15
44,R001,399,2020/4/10 9:21
45,R001,403,2020/4/5 14:11
46,R001,410,2020/2/23 2:12
47,R001,419,2019/11/15 7:14
48,R001,430,2020/1/14 21:07
49,R001,436,2020/1/2 22:43
50,R001,437,2020/8/5 22:14
51,R001,447,2020/8/12 18:27
52,R001,455,2020/4/29 22:25
53,R001,457,2020/6/30 16:31
54,R001,472,2020/6/16 18:15
55,R001,484,2020/4/30 17:37
56,R001,490,2020/7/13 2:16
57,R001,515,2020/2/20 12:14
58,R001,518,2020/2/1 9:37
59,R001,552,2020/6/17 20:35
60,R001,567,2020/4/15 5:46
61,R001,573,2019/12/17 22:36
62,R001,602,2020/3/10 7:03
63,R001,608,2020/5/29 17:39
64,R001,612,2020/2/2 15:58
65,R001,648,2019/11/20 1:33
66,R001,698,2020/5/30 15:17
67,R001,704,2020/5/2 13:43
68,R001,710,2020/2/1 19:46
69,R001,728,2020/2/16 16:40
70,R001,734,2020/5/23 9:22
71,R001,752,2020/3/22 10:57
72,R001,762,2020/2/29 7:43
73,R001,770,2020/1/21 8:52
74,R001,772,2019/11/6 8:48
75,R001,783,2020/6/19 22:36
76,R001,787,2020/4/16 4:08
77,R001,787,2020/4/16 9:06
78,R001,801,2020/3/18 3:23
79,R001,811,2019/12/15 20:33
80,R001,814,2020/7/4 20:07
81,R001,815,2019/12/1 23:18
82,R001,820,2020/4/6 19:23
83,R001,829,2019/12/18 11:47
84,R001,829,2019/12/18 12:08
85,R001,863,2020/1/30 18:20
86,R001,869,2019/12/4 4:00
87,R001,885,2020/6/24 21:20
88,R001,887,2020/1/8 7:57
89,R001,894,2020/5/23 8:47
90,R001,908,2020/3/12 22:48
91,R001,911,2020/6/28 17:08
92,R001,926,2020/6/30 15:42
93,R001,942,2020/5/30 4:13
94,R001,965,2020/1/23 10:36
95,R002,16,2020/3/19 16:47
96,R002,24,2020/2/10 17:37
97,R002,27,2020/6/22 4:34
98,R002,34,2019/11/17 6:28
99,R002,39,2020/6/18 7:50
100,R002,44,2020/1/10 12:42
101,R002,61,2020/1/16 1:23
102,R002,67,2019/11/10 5:17
103,R002,75,2020/6/14 14:43
104,R002,85,2020/5/27 2:45
105,R002,89,2020/3/22 4:11
106,R002,96,2020/2/18 3:31
107,R002,117,2020/6/29 14:55
108,R002,127,2020/7/26 6:26
109,R002,137,2020/3/21 18:06
110,R002,141,2020/4/12 3:42
111,R002,145,2020/4/4 12:59
112,R002,153,2019/10/31 16:54
113,R002,160,2020/2/11 21:59
114,R002,167,2019/11/14 10:01
115,R002,178,2020/7/14 6:49
116,R002,182,2020/7/9 9:22
117,R002,194,2020/2/1 20:51
118,R002,201,2020/2/23 3:16
119,R002,217,2020/3/31 2:59
120,R002,249,2020/7/12 12:14
121,R002,253,2020/3/14 0:41
122,R002,257,2020/7/5 11:52
123,R002,258,2020/6/28 16:41
124,R002,264,2020/4/23 2:00
125,R002,266,2020/7/3 19:04
126,R002,275,2020/5/5 14:01
127,R002,286,2020/3/7 2:48
128,R002,299,2020/2/17 19:51
129,R002,302,2019/11/3 20:29
130,R002,330,2020/4/11 16:23
131,R002,369,2020/6/9 20:24
132,R002,371,2020/5/9 15:32
133,R002,372,2020/7/18 13:33
134,R002,375,2020/1/12 19:58
135,R002,381,2019/11/13 20:24
136,R002,392,2020/6/7 15:47
137,R002,403,2020/4/4 18:42
138,R002,417,2019/12/30 15:53
139,R002,428,2020/3/21 0:51
140,R002,442,2020/4/13 7:24
141,R002,445,2020/4/26 21:38
142,R002,448,2020/4/27 19:40
143,R002,466,2020/7/24 23:02
144,R002,468,2020/6/29 0:10
145,R002,470,2020/4/22 17:06
146,R002,486,2020/6/20 23:43
147,R002,491,2019/12/29 22:25
148,R002,501,2020/8/7 21:51
149,R002,502,2019/11/24 13:36
150,R002,515,2020/2/19 22:55
151,R002,525,2020/5/6 10:20
152,R002,540,2020/1/6 13:56
153,R002,554,2020/4/3 4:19
154,R002,557,2019/11/30 13:42
155,R002,579,2020/3/31 10:37
156,R002,590,2019/12/10 19:20
157,R002,599,2019/12/11 1:46
158,R002,618,2019/11/7 23:39
159,R002,622,2020/7/2 1:06
160,R002,640,2020/5/9 6:44
161,R002,654,2020/4/30 10:04
162,R002,655,2020/5/30 23:11
163,R002,656,2020/7/2 23:38
164,R002,658,2020/6/21 0:26
165,R002,663,2020/4/12 9:36
166,R002,665,2020/3/29 6:01
167,R002,673,2019/12/1 19:54
168,R002,683,2020/3/23 12:15
169,R002,703,2019/12/19 22:37
170,R002,706,2019/12/13 11:27
171,R002,732,2019/11/17 19:17
172,R002,785,2019/12/17 21:23
173,R002,838,2020/8/11 10:51
174,R002,842,2020/1/30 17:03
175,R002,849,2019/11/30 6:51
176,R002,857,2020/2/3 1:59
177,R002,862,2020/4/30 19:38
178,R002,869,2019/12/3 23:04
179,R002,869,2019/12/4 11:40
180,R002,883,2020/1/15 10:23
181,R002,897,2020/5/25 5:09
182,R002,899,2020/5/15 18:05
183,R002,911,2020/6/29 1:28
184,R002,913,2020/2/14 5:20
185,R002,934,2020/3/19 11:18
186,R002,955,2020/7/26 18:39
187,R002,958,2020/4/2 7:23
188,R002,962,2020/4/26 8:06
189,R002,979,2020/5/16 22:49
190,R002,979,2020/5/17 5:45
191,R002,997,2019/12/23 0:05
192,R003,4,2020/7/23 15:46
193,R003,7,2020/6/17 2:54
194,R003,15,2020/2/12 7:57
195,R003,22,2020/5/28 1:31
196,R003,51,2020/2/6 1:13
197,R003,53,2019/12/30 2:38
198,R003,77,2020/3/20 12:40
199,R003,78,2019/12/14 19:23
200,R003,83,2020/3/23 15:51
201,R003,91,2020/3/11 6:34
202,R003,94,2020/1/3 20:12
203,R003,98,2019/11/21 5:54
204,R003,110,2020/7/25 1:04
205,R003,115,2019/11/24 15:08
206,R003,141,2020/4/12 10:05
207,R003,143,2020/6/25 14:32
208,R003,143,2020/6/26 13:30
209,R003,147,2020/4/20 2:43
210,R003,150,2020/1/18 22:20
211,R003,172,2019/11/26 21:20
212,R003,177,2020/3/29 5:29
213,R003,181,2020/2/14 21:40
214,R003,187,2020/6/20 9:13
215,R003,196,2019/12/12 21:00
216,R003,196,2019/12/13 10:05
217,R003,210,2020/7/18 21:07
218,R003,212,2020/8/12 5:36
219,R003,216,2019/11/8 5:45
220,R003,244,2020/2/22 5:49
