TICKET_ID,CUSTOMER_ID,PURCHASE_DATE,PROMO_APPLIED ,CATEGORY_OF_TICKET_ID,CATEGORY_OF_TICKET_DESC,PAYMENT_ID,PAYMENT_METHOD_ID,PAYMENT_METHOD_DESC,PURCHASE_MODE ,PRICE
1,CD0143,27-06-2020,1,1,Annual pass,1,2,Credit Card,Online,700
2,CD0109,27-11-2019,1,1,Annual pass,2,1,Cash,Online,700
3,CD0149,18-04-2020,1,3,Daily Pass,3,2,Credit Card,Online,120
4,CD0053,24-07-2020,1,1,Annual pass,4,4,Online Payment,Online,700
5,CD0038,18-12-2019,1,1,Annual pass,5,2,Credit Card,Online,700
6,CD0019,03-12-2019,1,1,Annual pass,6,2,Credit Card,Offline,700
7,CD0034,17-06-2020,1,2,Parking ticket,7,1,Cash,Online,20
8,CD0021,02-02-2020,0,1,Annual pass,8,4,Online Payment,Online,800
9,CD0090,06-02-2020,0,1,Annual pass,9,2,Credit Card,Online,800
10,CD0046,29-11-2019,0,1,Annual pass,10,3,Debit Card,Online,800
11,CD0133,03-03-2020,0,2,Parking ticket,11,1,Cash,Online,20
12,CD0148,28-04-2020,0,2,Parking ticket,12,1,Cash,Offline,20
13,CD0116,13-05-2020,1,2,Parking ticket,13,2,Credit Card,Online,20
14,CD0150,16-01-2020,1,2,Parking ticket,14,4,Online Payment,Online,20
15,CD0040,12-02-2020,0,1,Annual pass,15,1,Cash,Offline,800
16,CD0111,20-03-2020,1,1,Annual pass,16,3,Debit Card,Online,700
17,CD0088,14-07-2020,0,2,Parking ticket,17,1,Cash,Offline,20
18,CD0144,22-06-2020,1,1,Annual pass,18,3,Debit Card,Online,700
19,CD0076,10-05-2020,1,3,Daily Pass,19,4,Online Payment,Offline,120
20,CD0002,22-11-2019,1,1,Annual pass,20,2,Credit Card,Online,700
21,CD0104,30-04-2020,0,3,Daily Pass,21,4,Online Payment,Offline,150
22,CD0103,28-05-2020,1,1,Annual pass,22,4,Online Payment,Online,700
23,CD0051,28-12-2019,1,1,Annual pass,23,2,Credit Card,Offline,700
24,CD0078,11-02-2020,1,2,Parking ticket,24,2,Credit Card,Offline,20
25,CD0052,25-02-2020,0,2,Parking ticket,25,3,Debit Card,Offline,20
26,CD0119,05-01-2020,0,2,Parking ticket,26,1,Cash,Offline,20
27,CD0020,22-06-2020,0,3,Daily Pass,27,4,Online Payment,Offline,150
28,CD0089,13-02-2020,1,3,Daily Pass,28,4,Online Payment,Online,120
29,CD0146,27-05-2020,1,2,Parking ticket,29,3,Debit Card,Offline,20
30,CD0069,08-01-2020,0,3,Daily Pass,30,1,Cash,Offline,150
31,CD0084,16-11-2019,1,2,Parking ticket,31,4,Online Payment,Offline,20
32,CD0015,17-01-2020,1,3,Daily Pass,32,2,Credit Card,Offline,120
33,CD0082,27-11-2019,0,2,Parking ticket,33,2,Credit Card,Online,20
34,CD0080,17-11-2019,0,1,Annual pass,34,1,Cash,Online,800
35,CD0037,29-06-2020,0,3,Daily Pass,35,2,Credit Card,Offline,150
36,CD0142,06-04-2020,0,2,Parking ticket,36,2,Credit Card,Offline,20
37,CD0024,09-03-2020,0,1,Annual pass,37,1,Cash,Offline,800
38,CD0084,21-06-2020,0,3,Daily Pass,38,1,Cash,Offline,150
39,CD0024,18-06-2020,1,2,Parking ticket,39,1,Cash,Offline,20
40,CD0114,30-11-2019,0,3,Daily Pass,40,4,Online Payment,Offline,150
41,CD0107,20-04-2020,1,1,Annual pass,41,2,Credit Card,Offline,700
42,CD0025,30-07-2020,1,1,Annual pass,42,2,Credit Card,Offline,700
43,CD0045,25-06-2020,1,3,Daily Pass,43,4,Online Payment,Online,120
44,CD0143,10-01-2020,1,2,Parking ticket,44,4,Online Payment,Online,20
45,CD0079,10-03-2020,0,3,Daily Pass,45,1,Cash,Online,150
46,CD0139,05-03-2020,0,1,Annual pass,46,2,Credit Card,Offline,800
47,CD0035,31-01-2020,0,1,Annual pass,47,4,Online Payment,Offline,800
48,CD0133,10-03-2020,0,2,Parking ticket,48,2,Credit Card,Offline,20
49,CD0134,28-05-2020,1,1,Annual pass,49,1,Cash,Offline,700
50,CD0093,02-01-2020,1,3,Daily Pass,50,3,Debit Card,Online,120
51,CD0148,06-02-2020,1,1,Annual pass,51,4,Online Payment,Offline,700
52,CD0099,18-05-2020,0,3,Daily Pass,52,1,Cash,Offline,150
53,CD0035,30-12-2019,0,2,Parking ticket,53,2,Credit Card,Offline,20
54,CD0023,25-12-2019,0,3,Daily Pass,54,1,Cash,Offline,150
55,CD0005,25-12-2019,1,1,Annual pass,55,2,Credit Card,Offline,700
56,CD0072,22-11-2019,1,1,Annual pass,56,4,Online Payment,Offline,700
57,CD0005,19-06-2020,0,1,Annual pass,57,3,Debit Card,Offline,800
58,CD0095,06-07-2020,1,2,Parking ticket,58,3,Debit Card,Offline,20
59,CD0027,24-01-2020,1,3,Daily Pass,59,2,Credit Card,Offline,120
60,CD0064,03-06-2020,0,2,Parking ticket,60,4,Online Payment,Offline,20
61,CD0019,16-01-2020,0,2,Parking ticket,61,2,Credit Card,Online,20
62,CD0095,04-05-2020,1,3,Daily Pass,62,4,Online Payment,Online,120
63,CD0105,20-03-2020,0,1,Annual pass,63,2,Credit Card,Offline,800
64,CD0035,01-04-2020,1,3,Daily Pass,64,1,Cash,Offline,120
65,CD0117,12-02-2020,0,3,Daily Pass,65,3,Debit Card,Online,150
66,CD0093,23-02-2020,1,2,Parking ticket,66,4,Online Payment,Offline,20
67,CD0053,10-11-2019,1,2,Parking ticket,67,2,Credit Card,Offline,20
68,CD0150,01-04-2020,1,1,Annual pass,68,4,Online Payment,Offline,700
69,CD0101,19-07-2020,0,1,Annual pass,69,3,Debit Card,Online,800
70,CD0150,11-01-2020,1,2,Parking ticket,70,2,Credit Card,Offline,20
71,CD0085,25-11-2019,0,1,Annual pass,71,1,Cash,Online,800
72,CD0051,22-03-2020,1,3,Daily Pass,72,4,Online Payment,Offline,120
73,CD0093,11-04-2020,1,3,Daily Pass,73,3,Debit Card,Online,120
74,CD0059,19-02-2020,1,3,Daily Pass,74,4,Online Payment,Online,120
75,CD0035,15-06-2020,1,3,Daily Pass,75,1,Cash,Offline,120
76,CD0027,10-06-2020,0,3,Daily Pass,76,2,Credit Card,Online,150
77,CD0056,20-03-2020,0,2,Parking ticket,77,2,Credit Card,Offline,20
78,CD0071,15-12-2019,1,1,Annual pass,78,4,Online Payment,Online,700
79,CD0103,22-07-2020,0,3,Daily Pass,79,1,Cash,Online,150
80,CD0119,25-02-2020,1,2,Parking ticket,80,1,Cash,Online,20
81,CD0021,09-02-2020,0,2,Parking ticket,81,4,Online Payment,Online,20
82,CD0137,07-07-2020,0,3,Daily Pass,82,4,Online Payment,Offline,150
83,CD0025,24-03-2020,1,1,Annual pass,83,2,Credit Card,Offline,700
84,CD0120,04-01-2020,1,3,Daily Pass,84,1,Cash,Offline,120
85,CD0135,27-05-2020,0,2,Parking ticket,85,4,Online Payment,Offline,20
86,CD0071,09-11-2019,0,2,Parking ticket,86,1,Cash,Offline,20
87,CD0106,23-04-2020,0,1,Annual pass,87,1,Cash,Offline,800
88,CD0052,06-01-2020,1,2,Parking ticket,88,1,Cash,Offline,20
89,CD0107,22-03-2020,1,3,Daily Pass,89,3,Debit Card,Offline,120
90,CD0066,21-07-2020,0,3,Daily Pass,90,4,Online Payment,Offline,150
91,CD0052,11-03-2020,0,2,Parking ticket,91,3,Debit Card,Offline,20
92,CD0133,31-05-2020,0,1,Annual pass,92,1,Cash,Online,800
93,CD0013,17-12-2019,1,1,Annual pass,93,4,Online Payment,Offline,700
94,CD0023,04-01-2020,0,1,Annual pass,94,1,Cash,Online,800
95,CD0094,05-01-2020,0,2,Parking ticket,95,3,Debit Card,Offline,20
96,CD0022,18-02-2020,1,1,Annual pass,96,1,Cash,Online,700
97,CD0037,25-07-2020,1,2,Parking ticket,97,2,Credit Card,Offline,20
98,CD0030,21-11-2019,0,1,Annual pass,98,3,Debit Card,Offline,800
99,CD0010,08-11-2019,1,2,Parking ticket,99,3,Debit Card,Offline,20
100,CD0053,24-01-2020,1,2,Parking ticket,100,2,Credit Card,Offline,20
101,CD0011,12-12-2019,1,3,Daily Pass,101,3,Debit Card,Offline,120
102,CD0078,04-02-2020,0,1,Annual pass,102,1,Cash,Online,800
103,CD0147,22-06-2020,1,1,Annual pass,103,2,Credit Card,Offline,700
104,CD0008,23-01-2020,1,2,Parking ticket,104,4,Online Payment,Offline,20
105,CD0131,09-12-2019,0,1,Annual pass,105,4,Online Payment,Offline,800
106,CD0005,01-01-2020,0,3,Daily Pass,106,4,Online Payment,Offline,150
107,CD0135,28-06-2020,0,1,Annual pass,107,4,Online Payment,Online,800
108,CD0048,19-03-2020,1,1,Annual pass,108,3,Debit Card,Offline,700
109,CD0142,08-06-2020,1,1,Annual pass,109,4,Online Payment,Online,700
110,CD0028,25-07-2020,0,1,Annual pass,110,1,Cash,Online,800
111,CD0073,08-07-2020,1,3,Daily Pass,111,4,Online Payment,Online,120
112,CD0002,30-05-2020,1,1,Annual pass,112,2,Credit Card,Online,700
113,CD0098,06-02-2020,1,2,Parking ticket,113,4,Online Payment,Offline,20
114,CD0035,27-07-2020,0,2,Parking ticket,114,1,Cash,Online,20
115,CD0086,25-11-2019,0,3,Daily Pass,115,3,Debit Card,Online,150
116,CD0060,14-07-2020,0,2,Parking ticket,116,1,Cash,Online,20
117,CD0147,30-06-2020,0,1,Annual pass,117,2,Credit Card,Online,800
118,CD0098,07-03-2020,0,2,Parking ticket,118,4,Online Payment,Offline,20
119,CD0101,04-06-2020,0,3,Daily Pass,119,1,Cash,Online,150
120,CD0054,29-02-2020,1,3,Daily Pass,120,1,Cash,Online,120
121,CD0119,13-12-2019,1,1,Annual pass,121,3,Debit Card,Online,700
122,CD0028,20-06-2020,1,2,Parking ticket,122,3,Debit Card,Online,20
123,CD0039,18-03-2020,1,3,Daily Pass,123,2,Credit Card,Online,120
124,CD0006,10-07-2020,0,3,Daily Pass,124,2,Credit Card,Offline,150
125,CD0115,14-01-2020,0,2,Parking ticket,125,2,Credit Card,Offline,20
126,CD0066,10-07-2020,1,1,Annual pass,126,4,Online Payment,Offline,700
127,CD0027,26-07-2020,0,1,Annual pass,127,3,Debit Card,Online,800
128,CD0123,15-04-2020,0,3,Daily Pass,128,1,Cash,Offline,150
129,CD0047,08-04-2020,1,1,Annual pass,129,1,Cash,Offline,700
130,CD0046,11-04-2020,1,2,Parking ticket,130,1,Cash,Offline,20
131,CD0150,14-01-2020,0,2,Parking ticket,131,1,Cash,Online,20
132,CD0018,16-06-2020,1,3,Daily Pass,132,4,Online Payment,Online,120
133,CD0075,16-05-2020,1,1,Annual pass,133,1,Cash,Offline,700
134,CD0022,01-04-2020,1,2,Parking ticket,134,2,Credit Card,Offline,20
135,CD0145,24-04-2020,0,1,Annual pass,135,4,Online Payment,Offline,800
136,CD0031,03-08-2020,1,3,Daily Pass,136,1,Cash,Offline,120
137,CD0090,22-03-2020,1,1,Annual pass,137,4,Online Payment,Online,700
138,CD0126,19-01-2020,1,1,Annual pass,138,2,Credit Card,Offline,700
139,CD0144,24-12-2019,0,2,Parking ticket,139,2,Credit Card,Offline,20
140,CD0098,25-04-2020,0,3,Daily Pass,140,3,Debit Card,Online,150
141,CD0116,12-04-2020,1,2,Parking ticket,141,4,Online Payment,Online,20
142,CD0149,23-07-2020,1,1,Annual pass,142,3,Debit Card,Offline,700
143,CD0054,26-06-2020,1,2,Parking ticket,143,3,Debit Card,Online,20
144,CD0088,10-12-2019,0,1,Annual pass,144,2,Credit Card,Offline,800
145,CD0107,04-04-2020,1,3,Daily Pass,145,1,Cash,Online,120
146,CD0023,08-01-2020,0,1,Annual pass,146,2,Credit Card,Online,800
147,CD0127,20-04-2020,1,1,Annual pass,147,1,Cash,Online,700
148,CD0035,26-11-2019,1,3,Daily Pass,148,3,Debit Card,Online,120
149,CD0130,10-05-2020,1,1,Annual pass,149,2,Credit Card,Offline,700
150,CD0114,19-01-2020,1,3,Daily Pass,150,2,Credit Card,Online,120
151,CD0118,23-05-2020,0,3,Daily Pass,151,2,Credit Card,Online,150
152,CD0087,12-12-2019,1,2,Parking ticket,152,4,Online Payment,Online,20
153,CD0062,01-11-2019,0,1,Annual pass,153,2,Credit Card,Offline,800
