FACILITY_TICKET_ID,TICKET_ID,FACILITY_ID,TIMESTAMP
1,146,FAC115,2020/1/8 12:31
2,562,FAC116,2019/12/2 23:23
3,850,FAC141,2020/6/1 21:31
4,288,FAC102,2019/12/27 10:45
5,445,FAC129,2020/4/27 11:24
6,859,FAC104,2020/5/22 15:46
7,784,FAC112,2020/7/15 8:08
8,11,FAC135,2020/3/3 12:11
9,114,FAC117,2020/7/27 5:19
10,166,FAC117,2020/7/12 8:15
11,259,FAC132,2020/2/26 16:21
12,456,FAC104,2020/3/13 3:09
13,193,FAC119,2020/4/30 22:40
14,483,FAC104,2020/4/16 18:02
15,913,FAC138,2020/2/14 4:18
16,975,FAC127,2020/4/9 4:41
17,544,FAC118,2020/6/19 15:39
18,536,FAC126,2020/6/9 15:58
19,679,FAC113,2020/5/21 4:23
20,579,FAC103,2020/3/31 18:11
21,55,FAC118,2019/12/25 19:19
22,867,FAC133,2020/6/9 7:58
23,733,FAC120,2020/3/10 11:21
24,818,FAC141,2020/2/8 14:01
25,291,FAC142,2020/5/27 7:14
26,299,FAC123,2020/2/18 16:48
27,598,FAC126,2020/5/14 2:05
28,609,FAC140,2019/11/21 8:28
29,36,FAC112,2020/4/6 7:23
30,46,FAC137,2020/3/5 17:33
31,567,FAC118,2020/4/15 17:46
32,915,FAC108,2020/6/28 22:25
33,244,FAC103,2020/2/22 15:13
34,816,FAC108,2020/6/23 9:26
35,948,FAC128,2020/3/10 1:31
36,798,FAC129,2020/6/17 23:20
37,728,FAC117,2020/2/17 2:10
38,984,FAC113,2020/6/18 19:15
39,909,FAC123,2019/12/11 8:10
40,710,FAC120,2020/2/2 7:28
41,477,FAC138,2019/11/30 9:29
42,827,FAC108,2020/7/11 7:02
43,131,FAC111,2020/1/14 23:45
44,797,FAC124,2020/3/8 13:24
45,739,FAC134,2020/6/7 0:41
46,552,FAC133,2020/6/18 3:33
47,396,FAC117,2020/3/26 8:32
48,994,FAC111,2019/12/26 6:29
49,218,FAC133,2019/12/29 22:06
50,810,FAC104,2020/5/31 13:21
51,699,FAC103,2020/3/13 22:24
52,38,FAC141,2020/6/21 19:57
53,438,FAC131,2020/4/9 23:44
54,268,FAC142,2020/6/19 10:49
55,604,FAC109,2020/1/29 17:12
56,346,FAC128,2020/4/20 0:42
57,44,FAC138,2020/1/10 6:01
58,124,FAC114,2020/7/10 10:45
59,741,FAC132,2020/7/10 23:17
60,354,FAC123,2020/5/22 16:13
61,631,FAC133,2019/12/27 22:38
62,44,FAC127,2020/1/10 22:20
63,693,FAC126,2020/8/4 15:50
64,88,FAC101,2020/1/6 20:38
65,991,FAC114,2019/11/9 7:18
66,168,FAC125,2020/6/28 6:49
67,760,FAC124,2019/11/30 13:43
68,668,FAC118,2020/1/12 11:24
69,504,FAC112,2020/3/21 23:25
70,89,FAC128,2020/3/22 5:12
71,347,FAC123,2020/8/8 21:51
72,553,FAC140,2020/8/1 19:17
73,756,FAC142,2019/12/21 2:20
74,639,FAC101,2020/3/14 13:19
75,736,FAC115,2020/2/15 8:46
76,672,FAC141,2020/4/27 23:09
77,238,FAC127,2020/3/3 15:42
78,847,FAC136,2020/5/31 9:37
79,480,FAC109,2019/12/2 22:35
80,282,FAC128,2020/2/4 9:16
81,242,FAC134,2020/3/18 7:22
82,313,FAC130,2020/1/28 6:23
83,538,FAC114,2020/1/29 15:21
84,224,FAC117,2020/2/13 5:03
85,127,FAC138,2020/7/26 11:41
86,88,FAC108,2020/1/6 21:26
87,370,FAC121,2020/2/18 22:03
88,745,FAC137,2020/8/6 19:21
89,199,FAC124,2020/3/11 20:02
90,850,FAC115,2020/6/1 20:27
91,939,FAC126,2020/8/9 6:01
92,460,FAC106,2019/11/11 8:30
93,941,FAC127,2019/12/9 15:15
94,534,FAC140,2020/7/27 7:18
95,912,FAC104,2020/7/25 11:54
96,952,FAC136,2020/7/19 22:31
97,248,FAC114,2020/7/27 1:43
98,572,FAC108,2020/2/14 13:06
99,930,FAC138,2020/3/17 16:31
100,737,FAC115,2019/12/18 3:55
101,925,FAC109,2020/4/6 0:16
102,659,FAC110,2020/3/25 16:35
103,490,FAC138,2020/7/13 6:39
104,483,FAC142,2020/4/16 1:16
105,447,FAC130,2020/8/13 13:45
106,628,FAC137,2020/2/29 22:12
107,273,FAC132,2020/8/1 1:17
108,97,FAC109,2020/7/25 11:18
109,380,FAC141,2020/4/14 14:29
110,130,FAC116,2020/4/11 9:39
111,706,FAC126,2019/12/13 5:48
112,770,FAC126,2020/1/21 15:42
113,696,FAC140,2019/12/27 8:36
114,601,FAC117,2020/6/3 2:06
115,1000,FAC124,2020/7/27 14:24
116,259,FAC106,2020/2/26 21:13
117,470,FAC119,2020/4/23 23:29
118,649,FAC121,2019/12/29 14:47
119,930,FAC123,2020/3/17 18:43
120,571,FAC140,2020/3/8 18:21
121,40,FAC123,2019/11/30 22:43
122,355,FAC115,2019/11/2 14:42
123,437,FAC112,2020/8/6 13:58
124,769,FAC129,2020/7/4 18:25
125,150,FAC107,2020/1/19 17:55
126,809,FAC124,2019/12/26 17:35
127,46,FAC138,2020/3/5 1:51
128,636,FAC112,2019/12/16 1:22
129,826,FAC114,2020/2/7 12:21
130,436,FAC130,2020/1/3 11:17
131,367,FAC103,2019/12/25 14:03
132,692,FAC139,2020/6/25 20:05
133,51,FAC123,2020/2/6 12:24
134,441,FAC122,2020/5/11 11:55
135,610,FAC110,2020/7/22 5:39
136,792,FAC131,2019/12/13 5:38
137,871,FAC117,2020/3/7 7:45
138,409,FAC118,2020/1/17 12:22
139,970,FAC113,2020/2/7 6:45
140,143,FAC108,2020/6/26 16:50
141,265,FAC116,2020/1/11 6:35
142,432,FAC142,2020/6/18 11:15
143,152,FAC103,2019/12/12 12:55
144,373,FAC120,2020/6/4 22:27
145,766,FAC125,2019/12/2 21:40
146,111,FAC136,2020/7/8 0:39
147,246,FAC114,2020/2/2 7:46
148,96,FAC111,2020/2/18 4:56
149,822,FAC126,2020/5/19 3:22
150,291,FAC103,2020/5/27 2:21
151,263,FAC115,2020/3/1 18:15
152,491,FAC134,2019/12/30 9:07
153,325,FAC114,2020/2/8 13:55
154,57,FAC126,2020/6/19 7:24
155,797,FAC142,2020/3/8 19:42
156,847,FAC121,2020/5/31 4:09
157,717,FAC105,2020/3/29 20:25
158,888,FAC127,2020/6/19 16:15
159,808,FAC121,2019/12/4 21:01
160,97,FAC119,2020/7/25 16:58
161,20,FAC139,2019/11/22 20:01
162,793,FAC136,2019/12/3 3:44
163,378,FAC113,2019/12/12 3:31
164,615,FAC113,2019/12/11 9:41
165,409,FAC115,2020/1/17 20:29
166,178,FAC127,2020/7/14 15:24
167,884,FAC102,2020/2/14 10:40
168,364,FAC139,2019/11/30 11:39
169,680,FAC132,2019/12/2 13:20
170,203,FAC131,2020/1/18 3:24
171,565,FAC110,2020/5/16 12:55
172,738,FAC137,2020/6/18 13:04
173,285,FAC115,2020/6/5 21:15
174,749,FAC137,2019/12/8 3:02
175,344,FAC142,2019/12/19 11:51
176,417,FAC116,2019/12/31 19:22
177,90,FAC120,2020/7/21 23:48
178,418,FAC105,2020/3/7 2:56
179,526,FAC119,2020/5/24 7:02
180,680,FAC123,2019/12/2 15:03
181,807,FAC121,2020/3/20 7:13
182,213,FAC139,2020/3/1 10:43
183,90,FAC133,2020/7/21 17:26
184,895,FAC123,2020/1/18 7:08
185,306,FAC124,2019/12/25 13:34
186,329,FAC112,2020/3/27 3:38
187,505,FAC141,2020/1/26 19:01
188,333,FAC111,2020/1/6 13:07
